ligand	receptor
Col1a1	Itga11
Fn1	Sdc4
Col6a3	Itga9
Lama2	Itga7
Col1a2	Gp6
Fgf16	Fgfr1
Vtn	Itgb8
Col6a6	Itgav
Lamb1	Itga6
Lama3	Itga1
Col2a1	Itga9
Col4a5	Itga9
Tac1	Tacr2
C4bp	Cd40
Bmp3	Acvr2b
Tnc	Itgb3
Amh	Acvr1
Lamc3	Itga7
Dlk1	Notch1
Efna5	Epha5
Lgals1	Ptprc
Lamb3	Cd44
Lamc3	Sv2c
Ntn1	Unc5b
Lama3	Itga9
Ctsg	F2rl3
Tnxb	Itgb3
Edil3	Itgav
Lamb3	Sv2c
Col4a5	Itga2
Tnc	Sdc1
Ereg	Erbb2
Efnb1	Ephb6
Il20	Il22ra1
Igfbp4	Fzd8
Mfap2	Notch1
Thbs4	Itgav
Col4a6	Itgb8
Fn1	Itga8
Tnxb	Sdc1
Col1a1	Itgb1
Col6a3	Itgb8
Col4a3	Itga1
Col6a2	Sdc1
Lama4	Dag1
Lamc3	Itga9
Col6a6	Itgb1
Tnxb	Itga9
Gas6	Tyro3
Ibsp	Itgav
Lama2	Itgb8
Lamb1	Itga3
Try4	F2r
Try5	F2r
Try10	F2r
Prss3	F2r
Gm5771	F2r
Gm10334	F2r
Prss1	F2r
Prss2	F2r
Areg	Erbb2
Ibsp	Itgb5
Vcan	Tlr2
Lama3	Itga6
Col4a4	Gp6
Thbs1	Itga2b
Thbs1	Itgb1
Lamc2	Dag1
Col6a3	Gp6
Ifnl1	Gm21970
Ifnl1	Il10rb
Thbs4	Cd36
Lama1	Dag1
Scgb3a2	Marco
Thbs1	Cd47
Col2a1	Itga2
Dll3	Notch3
Il13	Gm20489
Il13	Il2rg
Thbs2	Itga3
Clcf1	Lifr
Tnc	Itgb1
Vwf	Itga2b
Col1a2	Sdc4
Vtn	Itgb1
Lama2	Itga2
Thbs3	Sdc1
Col4a2	Sdc4
Efna3	Epha1
Ntn1	Neo1
Col4a3	Itga2
Lama4	Itga3
Nts	Ntsr2
Lamc1	Itgb4
Gas6	Axl
Lamc2	Itgb1
Efnb3	Ephb4
Kng2	Cd93
Kng1	Cd93
Lama1	Itga3
Lamb1	Itgav
Col4a5	Sdc4
Gzma	F2rl2
Lamc1	Sv2c
Col4a1	Itga1
Thbs3	Itgb1
Lama5	Itga9
Efna1	Epha5
Col6a1	Sdc4
Gh	Ghr
Fn1	Itgb8
Col4a2	Sdc1
Tnn	Itga9
Lama2	Itga6
Col1a2	Itgav
Slit2	Robo4
Igfbp4	Lrp6
Col4a6	Itgb1
Lamc1	Itgb1
Gzma	F2rl3
Fn1	Itga2b
Thbs3	Itgav
Tnr	Sdc4
Vcan	Cd44
Col6a1	Gm42957
Col6a1	Itga10
Col4a1	Gp6
Lamc1	Sv2a
Tnc	Itgb6
Muc7	Sell
Efnb3	Ephb3
Col1a1	Itgb8
Col4a5	Sdc1
Lama4	Itga7
Col4a6	Sdc4
Ifna15	Ifnar2
Ifna14	Ifnar2
Ifna9	Ifnar2
Ifna12	Ifnar2
Ifna13	Ifnar2
Ifna16	Ifnar2
Ifna2	Ifnar2
Ifnab	Ifnar2
Ifna7	Ifnar2
Ifna11	Ifnar2
Ifna6	Ifnar2
Ifna5	Ifnar2
Ifna4	Ifnar2
Ifna1	Ifnar2
Lama1	Itga2
Lamc1	Itga6
Lamb2	Itga9
Col4a4	Sdc1
Il1rn	Il1r1
Lama1	Itgb8
Tnn	Sdc4
Lama4	Itgb4
Col4a6	Gp6
Efna2	Epha7
Comp	Sdc1
Plg	F2r
Lama5	Cd44
Col4a1	Sdc1
Lamc3	Itgb1
Sema3c	Nrp1
Efnb2	Ephb3
Cxcl11	Ackr3
Ifna15	Ifnar2
Ifna14	Ifnar2
Ifna9	Ifnar2
Ifna12	Ifnar2
Ifna13	Ifnar2
Ifna16	Ifnar2
Ifna2	Ifnar2
Ifnab	Ifnar2
Ifna7	Ifnar2
Ifna11	Ifnar2
Ifna6	Ifnar2
Ifna5	Ifnar2
Ifna4	Ifnar2
Ifna1	Ifnar2
Bmp10	Acvr2b
Tac2	Tacr3
Col6a6	Itgb8
Bmp15	Acvr2b
Tnn	Itgb3
Efna5	Epha4
Ifna15	Ifnar2
Ifna14	Ifnar2
Ifna9	Ifnar2
Ifna12	Ifnar2
Ifna13	Ifnar2
Ifna16	Ifnar2
Ifna2	Ifnar2
Ifnab	Ifnar2
Ifna7	Ifnar2
Ifna11	Ifnar2
Ifna6	Ifnar2
Ifna5	Ifnar2
Ifna4	Ifnar2
Ifna1	Ifnar2
Col4a1	Itgb8
Ifna15	Ifnar1
Ifna14	Ifnar1
Ifna9	Ifnar1
Ifna12	Ifnar1
Ifna13	Ifnar1
Ifna16	Ifnar1
Ifna2	Ifnar1
Ifnab	Ifnar1
Ifna7	Ifnar1
Ifna11	Ifnar1
Ifna6	Ifnar1
Ifna5	Ifnar1
Ifna4	Ifnar1
Ifna1	Ifnar1
Inhbe	Acvr1
Wnt7a	Lrp6
Ccl4	Ccr5
Ifna15	Ifnar1
Ifna14	Ifnar1
Ifna9	Ifnar1
Ifna12	Ifnar1
Ifna13	Ifnar1
Ifna16	Ifnar1
Ifna2	Ifnar1
Ifnab	Ifnar1
Ifna7	Ifnar1
Ifna11	Ifnar1
Ifna6	Ifnar1
Ifna5	Ifnar1
Ifna4	Ifnar1
Ifna1	Ifnar1
Tnc	Itga8
Dlk1	Notch3
Nmu	Nmur1
Lamb2	Itga2
Col3a1	Itgb1
Lama1	Itgb4
Col4a3	Gp6
Ifna15	Ifnar2
Ifna14	Ifnar2
Ifna9	Ifnar2
Ifna12	Ifnar2
Ifna13	Ifnar2
Ifna16	Ifnar2
Ifna2	Ifnar2
Ifnab	Ifnar2
Ifna7	Ifnar2
Ifna11	Ifnar2
Ifna6	Ifnar2
Ifna5	Ifnar2
Ifna4	Ifnar2
Ifna1	Ifnar2
Col1a1	Itga2
Col4a5	Itgav
Col4a4	Cd44
Vtn	Itga2b
Col4a3	Sdc1
Lamb1	Itgb4
Edn1	Ednrb
Bmp5	Acvr2b
Efna1	Epha3
Col6a2	Gm42957
Col6a2	Itga10
Lamc2	Sv2c
Lamb3	Itgb1
Tac1	Tacr1
Col6a6	Itga9
Try4	F2rl3
Try5	F2rl3
Try10	F2rl3
Prss3	F2rl3
Gm5771	F2rl3
Gm10334	F2rl3
Prss1	F2rl3
Prss2	F2rl3
Lamb2	Itga6
Tnc	Sdc4
Lamb2	Itgb1
Col6a3	Itgav
Efna1	Epha1
Lamb3	Itgb8
Col6a1	Cd44
Mdk	Ptprb
Gdf2	Acvr2a
Col4a3	Itga3
Fn1	Itgb7
Ifna15	Ifnar1
Ifna14	Ifnar1
Ifna9	Ifnar1
Ifna12	Ifnar1
Ifna13	Ifnar1
Ifna16	Ifnar1
Ifna2	Ifnar1
Ifnab	Ifnar1
Ifna7	Ifnar1
Ifna11	Ifnar1
Ifna6	Ifnar1
Ifna5	Ifnar1
Ifna4	Ifnar1
Ifna1	Ifnar1
Tnxb	Itgb1
Lamc2	Itgb4
Col4a4	Itga9
Col6a3	Cd44
Thbs4	Cd47
Col1a2	Gm42957
Col1a2	Itga10
Ifnl2	Gm21970
Ifnl2	Il10rb
Ifnl3	Gm21970
Ifnl3	Il10rb
Efna4	Epha1
Col6a2	Itga2
Kng2	Itgb2l
Kng2	Itgb2
Kng1	Itgb2l
Kng1	Itgb2
Agrn	Dag1
Spp1	Itga4
Ntn1	Dcc
Npy	Npy5r
Fgf3	Fgfr1
Lama2	Itga3
Lamc2	Cd44
Lamb2	Itga7
Col6a1	Itga2
Ifnl2	Ifnlr1
Ifnl3	Ifnlr1
Bmp2	Acvr1
Col4a2	Cd44
Gh	Ghr
Sema3e	Nrp1
Lamb2	Itgb8
Lama5	Sv2b
Dlk1	Notch2
Lamc3	Dag1
Lama1	Cd44
Comp	Sdc4
Col4a5	Cd44
Tnr	Itga9
Thbs2	Cd36
Tnxb	Sdc4
Lama3	Itgb8
Col6a1	Itgav
Col1a1	Itga1
Fn1	Itgb3
Col4a2	Itgav
Efna1	Epha2
Bmp6	Acvr1
Lama5	Itga2
Vtn	Itgb5
Thbs1	Cd36
Ifna15	Ifnar2
Ifna14	Ifnar2
Ifna9	Ifnar2
Ifna12	Ifnar2
Ifna13	Ifnar2
Ifna16	Ifnar2
Ifna2	Ifnar2
Ifnab	Ifnar2
Ifna7	Ifnar2
Ifna11	Ifnar2
Ifna6	Ifnar2
Ifna5	Ifnar2
Ifna4	Ifnar2
Ifna1	Ifnar2
Thbs2	Itgb1
Lama3	Itga7
Lamc2	Itga2
Ifnk	Ifnar2
Vwf	Gp5
Lamc3	Itgb4
Fgf16	Fgfr2
Col6a2	Sdc4
Gdf2	Acvr2b
Lama5	Itgav
Col11a1	Itgb1
Ifna15	Ifnar1
Ifna14	Ifnar1
Ifna9	Ifnar1
Ifna12	Ifnar1
Ifna13	Ifnar1
Ifna16	Ifnar1
Ifna2	Ifnar1
Ifnab	Ifnar1
Ifna7	Ifnar1
Ifna11	Ifnar1
Ifna6	Ifnar1
Ifna5	Ifnar1
Ifna4	Ifnar1
Ifna1	Ifnar1
Lamc2	Itga7
Col6a1	Itgb1
Cyr61	Itgav
Eda	Eda2r
Col6a1	Itgb8
Efnb1	Ephb1
Fn1	Itga4
Nrg4	Erbb2
Col4a5	Itga1
Lamb1	Itga1
Tnc	Itgav
Lama2	Itgb1
Lamc2	Sv2a
Col4a1	Itga9
Spp1	Cd44
Lama1	Itgb1
Lamc2	Itga1
Chad	Itga2
Thbs1	Itga3
Col6a1	Itga9
Lamb2	Cd44
Col1a2	Cd44
Lamc2	Itga9
Lamc1	Sv2b
Inhbe	Acvr2b
Col4a3	Itgb1
Inhbe	Acvr1b
Lamb1	Itgb1
Col1a1	Itga3
Col1a1	Sdc1
Thbs2	Itgav
Lamb1	Itgb8
Efnb2	Ephb1
Ntn1	Unc5a
C3	Cr2
Col1a2	Itga9
Cga	Tshr
Col6a6	Cd44
Fgf16	Fgfr3
Lamc1	Itga3
Efna4	Epha8
Efna5	Epha7
Inhbe	Acvr2a
Tnn	Itgb1
Lamb2	Dag1
Col6a6	Gp6
Col11a1	Itga2
Efna1	Epha4
Vwf	Gp1ba
Comp	Itgb1
Efna4	Epha3
Col3a1	Itga2
Lama4	Itga2
Nrg3	Erbb2
Col5a1	Itga1
Lamc2	Itgav
Ifna15	Ifnar1
Ifna14	Ifnar1
Ifna9	Ifnar1
Ifna12	Ifnar1
Ifna13	Ifnar1
Ifna16	Ifnar1
Ifna2	Ifnar1
Ifnab	Ifnar1
Ifna7	Ifnar1
Ifna11	Ifnar1
Ifna6	Ifnar1
Ifna5	Ifnar1
Ifna4	Ifnar1
Ifna1	Ifnar1
Col4a2	Itgb8
Tnn	Itgb6
Lama5	Sv2c
Efna1	Epha7
Lamc2	Itga3
Lama5	Itga1
Wnt3a	Atp6ap2
Lamb2	Sv2a
Dll3	Notch2
Sema3a	Plxna1
Lama1	Itga9
Col4a1	Sdc4
Lama4	Itgb1
Lamb3	Dag1
Lamc1	Itgb8
Ctsg	F2rl2
Lama2	Itgav
Efnb1	Ephb4
Col2a1	Sdc1
Kng2	Rxfp4
Kng1	Rxfp4
Lama4	Itga9
Comp	Cd47
Col6a2	Itgav
Ifna15	Ifnar1
Ifna14	Ifnar1
Ifna9	Ifnar1
Ifna12	Ifnar1
Ifna13	Ifnar1
Ifna16	Ifnar1
Ifna2	Ifnar1
Ifnab	Ifnar1
Ifna7	Ifnar1
Ifna11	Ifnar1
Ifna6	Ifnar1
Ifna5	Ifnar1
Ifna4	Ifnar1
Ifna1	Ifnar1
Fn1	Itga5
Tnr	Sdc1
Lama2	Sv2b
Thbs4	Sdc4
Btc	Erbb3
Lamc3	Sv2b
Fga	Itga2b
Col1a1	Itga9
Clcf1	Il6st
Efna4	Epha2
Thbs1	Sdc1
Ctsg	F2rl1
Efna5	Epha3
Col4a4	Itga1
Gdf2	Bmpr2
Col1a2	Itga2
Col4a1	Itgav
Efnb1	Ephb2
Col4a6	Gm42957
Col4a6	Itga10
Col6a2	Gp6
Wnt3a	Fzd1
Col6a3	Gm42957
Col6a3	Itga10
Dll3	Notch4
C3	Itgax
Il1rn	Il1r2
Hbegf	Erbb2
Dll4	Notch3
Fn1	Itga3
Vwf	Gp1bb
Lama1	Itga7
Comp	Itgav
Efna4	Epha7
Ifna15	Ifnar1
Ifna14	Ifnar1
Ifna9	Ifnar1
Ifna12	Ifnar1
Ifna13	Ifnar1
Ifna16	Ifnar1
Ifna2	Ifnar1
Ifnab	Ifnar1
Ifna7	Ifnar1
Ifna11	Ifnar1
Ifna6	Ifnar1
Ifna5	Ifnar1
Ifna4	Ifnar1
Ifna1	Ifnar1
Vtn	Itgav
Efnb1	Ephb3
Efna5	Epha8
Ifna15	Ifnar1
Ifna14	Ifnar1
Ifna9	Ifnar1
Ifna12	Ifnar1
Ifna13	Ifnar1
Ifna16	Ifnar1
Ifna2	Ifnar1
Ifnab	Ifnar1
Ifna7	Ifnar1
Ifna11	Ifnar1
Ifna6	Ifnar1
Ifna5	Ifnar1
Ifna4	Ifnar1
Ifna1	Ifnar1
Efnb2	Ephb2
Slit2	Robo2
Col5a2	Itgb1
Gas6	Mertk
Bmp10	Acvr1
Tnfsf10	Tnfrsf11b
Col4a6	Itga1
Lamc3	Cd44
Col2a1	Itgb1
Lamc3	Sv2a
Efna3	Epha3
Lama2	Sv2a
Tnc	Itga9
Lama5	Itga6
Thbs3	Cd47
Wnt3a	Lrp6
Col2a1	Cd44
Col6a2	Itga9
Lamc3	Itgb8
Lama5	Itga3
Efnb2	Ephb4
Ifna15	Ifnar1
Ifna14	Ifnar1
Ifna9	Ifnar1
Ifna12	Ifnar1
Ifna13	Ifnar1
Ifna16	Ifnar1
Ifna2	Ifnar1
Ifnab	Ifnar1
Ifna7	Ifnar1
Ifna11	Ifnar1
Ifna6	Ifnar1
Ifna5	Ifnar1
Ifna4	Ifnar1
Ifna1	Ifnar1
Lama2	Sv2c
Col6a2	Itga1
Thbs2	Sdc4
Lamb1	Itga9
Lamb3	Itga3
Thbs3	Cd36
Ifna15	Ifnar1
Ifna14	Ifnar1
Ifna9	Ifnar1
Ifna12	Ifnar1
Ifna13	Ifnar1
Ifna16	Ifnar1
Ifna2	Ifnar1
Ifnab	Ifnar1
Ifna7	Ifnar1
Ifna11	Ifnar1
Ifna6	Ifnar1
Ifna5	Ifnar1
Ifna4	Ifnar1
Ifna1	Ifnar1
Slit2	Robo1
Thbs3	Sdc4
Lama2	Itgb4
Lamc3	Itga1
Reln	Itga3
Col1a2	Itgb1
Lama1	Itga1
Thbs2	Itgb3
Lamc1	Dag1
Col2a1	Sdc4
Lamb3	Itga7
Lamb1	Itga7
Ifne	Ifnar1
F9	Lrp1
Ifne	Ifnar2
Col2a1	Itga3
Efna5	Epha1
Thbs4	Sdc1
Ahsg	Insr
Efnb3	Ephb1
Lamc3	Itga2
Cyr61	Itgb5
Tnxb	Itgav
Lama5	Itgb1
Lamc3	Itga6
Col4a4	Gm42957
Col4a4	Itga10
Fgf5	Fgfr2
Ifnl2	Ifnlr1
Ifnl3	Ifnlr1
Trf	Tfrc
C3	Itgam
C3	Gm49368
Lamb1	Itga2
Bmp15	Acvr1
Fn1	Sdc1
Efna3	Epha4
Lama3	Itga2
Thbs1	Sdc4
Lamb3	Sv2a
Efna2	Epha3
Col6a3	Itgb1
Nmu	Nmur2
Wnt10b	Fzd5
Col2a1	Itgav
Thbs1	Itgav
Lamc3	Itgav
Lamc1	Itga9
Ptn	Ptprb
Npy	Npy2r
Bmp4	Acvr2b
Col1a1	Itgav
Col6a3	Sdc1
Lamc1	Cd44
Lamc1	Itga1
Fn1	Itgb6
Col6a3	Itga1
Kng2	Itgam
Kng2	Gm49368
Kng1	Itgam
Kng1	Gm49368
Bdnf	Ngfr
Lama1	Sv2a
Lama1	Itgav
Tnr	Itgav
Gzma	F2r
Col4a4	Itgb1
Lamc1	Itga7
Col6a2	Cd44
Efna2	Epha1
Lamb3	Itga2
Col6a2	Itgb8
Ifna15	Ifnar2
Ifna14	Ifnar2
Ifna9	Ifnar2
Ifna12	Ifnar2
Ifna13	Ifnar2
Ifna16	Ifnar2
Ifna2	Ifnar2
Ifnab	Ifnar2
Ifna7	Ifnar2
Ifna11	Ifnar2
Ifna6	Ifnar2
Ifna5	Ifnar2
Ifna4	Ifnar2
Ifna1	Ifnar2
Col1a2	Itga11
Efna1	Epha8
Trf	Tfr2
Lamb2	Itgav
Lamc3	Itga3
Comp	Cd36
Col4a1	Itgb1
Col4a3	Itgav
Col4a6	Cd44
Dll4	Notch4
Plg	F2rl1
Qrfp	Qrfpr
Qrfp	Qrfprl
Lama5	Itgb8
Ibsp	Itgb3
Lamb3	Itga9
Col5a1	Itgb1
Try4	F2rl2
Try5	F2rl2
Try10	F2rl2
Prss3	F2rl2
Gm5771	F2rl2
Gm10334	F2rl2
Prss1	F2rl2
Prss2	F2rl2
Lamc1	Itgav
Lama3	Dag1
Try4	F2rl1
Try5	F2rl1
Try10	F2rl1
Prss3	F2rl1
Gm5771	F2rl1
Gm10334	F2rl1
Prss1	F2rl1
Prss2	F2rl1
C3	Itgb2l
C3	Itgb2
Col4a5	Gp6
Col6a3	Sdc4
Lama4	Itgav
Efna2	Epha4
Col4a2	Itga9
Efna2	Epha8
Efna2	Epha2
Efna2	Epha5
Bmp5	Acvr1
Lama5	Dag1
Lama2	Cd44
Col1a2	Itgb8
Fn1	Itgb1
Vtn	Itga8
Vwf	Itgb3
Lamb2	Itga1
Vwf	Itgav
Wnt3a	Fzd8
Lamb2	Sv2b
Col4a2	Itgb1
Thbs2	Sdc1
Col6a6	Gm42957
Col6a6	Itga10
Dlk1	Notch4
Lamc2	Sv2b
Npnt	Itga8
Efnb2	Ephb6
Lama5	Sv2a
Comp	Itgb3
Col4a3	Cd44
Col1a2	Sdc1
Efna3	Epha5
Lamb3	Sv2b
Tnxb	Itga8
Ifnl2	Gm21970
Ifnl2	Il10rb
Ifnl3	Gm21970
Ifnl3	Il10rb
Col1a1	Gm42957
Col1a1	Itga10
Gm28040	Kiss1r
Kiss1	Kiss1r
Col1a1	Gp6
Thbs2	Cd47
Pip	Cd4
Gzma	F2rl1
Efna5	Epha2
Ntn1	Unc5c
B2m	Hfe
Thbs4	Itgb1
Efnb2	Epha4
Tnr	Itgb3
Col4a1	Gm42957
Col4a1	Itga10
Efnb3	Ephb2
Col4a4	Sdc4
Lamb2	Itga3
Col6a3	Itga2
Fst	Bmpr1b
Sema3a	Nrp1
Col4a5	Itgb1
Col4a3	Itga9
Efna3	Epha7
Vwf	Gp9
Lamc2	Itgb8
Col1a1	Cd44
Lama3	Itgav
Lama5	Itgb4
Wnt3	Lrp6
Nrg2	Erbb2
Col4a6	Sdc1
Hspg2	Dag1
Lama3	Itgb4
Col4a4	Itga2
Tnn	Itgav
Col2a1	Gp6
Efnb1	Epha4
Dkk1	Kremen1
Lama2	Dag1
Dkk2	Lrp6
Lamb3	Itgav
Col2a1	Itga11
Efnb3	Epha4
Pdgfd	Pdgfrb
Ifnl1	Ifnlr1
Ifna15	Ifnar2
Ifna14	Ifnar2
Ifna9	Ifnar2
Ifna12	Ifnar2
Ifna13	Ifnar2
Ifna16	Ifnar2
Ifna2	Ifnar2
Ifnab	Ifnar2
Ifna7	Ifnar2
Ifna11	Ifnar2
Ifna6	Ifnar2
Ifna5	Ifnar2
Ifna4	Ifnar2
Ifna1	Ifnar2
Efna3	Epha2
Col6a1	Gp6
Col2a1	Gm42957
Col2a1	Itga10
Col6a1	Itga1
Efna4	Epha4
Lamc2	Itga6
Fst	Bmpr2
Lama1	Itga6
Lamb3	Itga6
Fn1	Itgav
Thbs1	Itgb3
Tnn	Sdc1
Col2a1	Itga1
Dcn	Egfr
Lamb2	Sv2c
Thbs4	Itgb3
Lama2	Itga9
Mfap5	Notch1
Col6a2	Itgb1
Col4a1	Cd44
Reln	Itgb1
Lamb3	Itga1
Tnr	Itgb6
Lama4	Itgb8
Col1a2	Itga1
Lamc1	Itga2
Fn1	Cd44
Col6a1	Sdc1
Cxcl12	Ackr3
Comp	Itga3
Lama5	Itga7
Col4a6	Itga2
Lama3	Itgb1
Tnr	Itgb1
Col5a2	Itga1
Col6a6	Sdc1
Lama4	Itga1
Gc	Lrp2
Bmp4	Acvr1
Chad	Itgb1
Ifna15	Ifnar2
Ifna14	Ifnar2
Ifna9	Ifnar2
Ifna12	Ifnar2
Ifna13	Ifnar2
Ifna16	Ifnar2
Ifna2	Ifnar2
Ifnab	Ifnar2
Ifna7	Ifnar2
Ifna11	Ifnar2
Ifna6	Ifnar2
Ifna5	Ifnar2
Ifna4	Ifnar2
Ifna1	Ifnar2
Col2a1	Itgb8
Ifnk	Ifnar1
Lama2	Itga1
Fgf16	Fgfr4
Lamb3	Itgb4
Ctsg	F2r
Col4a4	Itgav
Vtn	Itgb3
Col4a6	Itgav
Thbs3	Itgb3
Efna4	Epha5
Gh	Prlr
Ifna15	Ifnar2
Ifna14	Ifnar2
Ifna9	Ifnar2
Ifna12	Ifnar2
Ifna13	Ifnar2
Ifna16	Ifnar2
Ifna2	Ifnar2
Ifnab	Ifnar2
Ifna7	Ifnar2
Ifna11	Ifnar2
Ifna6	Ifnar2
Ifna5	Ifnar2
Ifna4	Ifnar2
Ifna1	Ifnar2
Col4a4	Itgb8
Col4a6	Itga9
Plg	F2rl3
Efnb3	Ephb6
Col4a2	Gm42957
Col4a2	Itga10
Lamb2	Itgb4
Lama3	Itga3
Lama4	Itga6
Col1a1	Sdc4
Wnt2	Lrp6
Efna3	Epha8
Col4a2	Gp6
Mfge8	Pdgfrb
Timp1	Cd63
Iapp	Calcr
Slpi	Cd4
F10	Itgam
F10	Gm49368
Ccl25	Ackr4
Plg	Plaur
Hbegf	Cd82
Scgb1a1	Lrp2
Apob	Ldlr
Vegfa	Gpc1
Gdf2	Acvr1
Il16	Kcnj10
Vegfc	Vipr2
Hras	Agtr1a
Hras	Agtr1b
Gnas	Adcy9
Gnai2	S1pr5
Nov	Plxna1
Ccl21d	Cxcr3
Gm13304	Cxcr3
Ccl21b	Cxcr3
Gm10591	Cxcr3
Ccl21a	Cxcr3
Col8a1	Itga1
Pltp	Abca1
Vcam1	Itga4
Guca2b	Gucy2c
Inhba	Eng
Serpine1	Itgb5
Adam9	Itgav
Rspo3	Lrp6
Gnai2	Egfr
Cel	Cxcr4
C3	Cd19
Nmb	Grpr
Thbs1	Scarb1
Ptgs2	Cav1
Tg	Asgr1
Gm21983	Cdh19
Mia	Cdh19
Apoe	Chrna4
B2m	Clec2m
B2m	Klre1
B2m	Klrc3
B2m	Klrc2
B2m	Klrc1
B2m	Klri1
B2m	Klri2
B2m	Klrh1
Csf2	Itga9
Cxcl12	Cd4
Hla-C	Kir3dl2
Hla-C	Kir3dl1
Col1a1	Cd36
Obp2a	Or1g1
Obp2b	Or1g1
Lcn4	Or1g1
Scgb1a1	Lmbr1l
Hla-B	Klrd1
Cxcl2	Xcr1
Nlgn3	Nrxn2
Calr	Itga2b
Bmp8b	Acvr2a
App	Cav1
Ccl2	Ackr4
Sema3b	Nrp1
Cdh1	Ptprm
Hspg2	Chrm3
Adam2	Itgb7
Cntn4	Ptprg
Fbn1	Itgb3
Adm2	Calcrl
Adam9	Itgb1
Saa1	Scarb1
Icam3	Itgad
Agrn	Atp1a3
Spink1	Egfr
Anxa1	Dysf
a	Mc5r
Tcn2	Cnr1
Hgf	Sdc1
Calr	Itga3
Npb	Npbwr1
Sema3a	Plxna4
Apob	Lsr
Fgb	Itgam
Fgb	Gm49368
Rbp3	Notch1
Plau	Lrp1
Ctgf	Ntrk1
Fgf21	Fgfr4
Nts	Sort1
Tnc	Egfr
Fgf1	Nrp1
Apoe	Scarb1
Ncam1	Gfra1
Hebp1	Fpr3
Nlgn2	Nrxn3
Col18a1	Gpc4
Mdk	Itga6
Gnai2	Ptpru
Cxcl13	Ackr4
Rnase2b	Tlr2
Ear14	Tlr2
Rnase2a	Tlr2
Ear6	Tlr2
Ear1	Tlr2
Ear10	Tlr2
Ear2	Tlr2
Pf4	Fgfr2
Ntf5	Ntrk3
Gpc3	Igf1r
C4bp	Bmpr2
Gstp1	Traf2
Gstp2	Traf2
Hla-B	Canx
Icam1	Itgax
Il8	Kdr
Bmp10	Acvr2a
Col1a1	Tmprss6
Hla-G	Cd4
Apoc3	Tlr2
Plg	Itga9
Cga	Gm9733
Cga	Sirpb1a
Cga	Sirpb1b
Cga	Sirpb1c
Cga	Gm5150
Cga	Sirpa
Efemp2	Plscr4
Fgf22	Fgfr2
Calr	Lrp1
Hla-B	Cd3d
Rspo3	Lgr6
Sbpl	Tlr2
Cdh1	Igf1r
Hla-C	Kir3dl2
Hla-C	Kir3dl1
Ctgf	Itgam
Ctgf	Gm49368
Cthrc1	Fzd3
Gnas	Adcy1
Adam12	Sdc4
Gnb3	Tgfbr1
Il22	Il21r
Il22b	Il21r
Olah	Mog
Plau	Itga3
Btla	Tnfrsf10b
Btla	Tnfrsf14
Fga	Itgb3
Plau	Itgb1
Adam15	Itgb1
Efna1	Ephb1
B2m	Cd247
L1cam	Erbb3
Mdk	Itgb1
Gpha2	Tshr
Lefty2	Acvr2b
Lefty1	Acvr2b
Vtn	Pvr
Selplg	Sele
C4b	Cr1l
Adam12	Itga9
Efnb2	Grm5
Egfl8	Ncr3
Farp2	Plxna1
Vtn	Itga3
Gdnf	Ednrb
Ntng1	Lrrc4c
Pcsk9	Vldlr
Ptgs2	Ptgdr2
Psen1	Notch1
Ltbp1	Itgb5
Ccl5	Ackr2
Nid1	Itgb3
Tac2	Tacr2
Bdnf	Drd4
Fgb	Itgb1
Icam5	Itgb2l
Icam5	Itgb2
Ccl12	Ackr4
Egf	Erbb4
Rtn4	Rtn4rl1
Apob	Lrp6
Col4a5	Cd47
Gm5849	Tlr4
Hla-B	Kir3dl2
Hla-B	Kir3dl1
Kal1	Fgfr1
C4b	Cd46
Rgmb	Neo1
Icam1	Gm20489
Icam1	Il2rg
Hmgb1	Sdc1
Gnas	Crhr1
Plau	Mrc2
F11	Gp1ba
Ltf	Gp9
Col4a6	Cd47
Amelx	Lamp1
Pdyn	Oprd1
Cthrc1	Fzd5
Plg	Flt1
Thbs1	Lrp1
Inhba	Tgfbr3
Sema3a	Plxna3
Gnas	Gcgr
Anxa1	Fpr2
Anxa1	Fpr3
Fn1	Mag
Rarres2	Cmklr1
Bmp2	Hfe2
Btla	Cd79a
Sema3f	Nrp1
Ly86	Cd180
Ncan	Cdh2
Lama1	Rpsa
Rspo3	Fzd8
Hla-C	Kir3dl2
Hla-C	Kir3dl1
B2m	Hla-F
F8	Lrp1
Col18a1	Itga5
Ltf	Lrp11
Gnas	Glp1r
Rims1	Slc18a3
Col7a1	Itga2
Psap	Celsr1
Col4a3	Cd93
App	Gpc1
Ndp	Lgr4
Nts	Ngfr
Pdap1	Pdgfrb
Gnai2	Cxcr1
Timp2	Itgb1
Lep	Lrp2
Mfge8	Itgb3
Shh	Cdon
Icam3	Itgb2l
Icam3	Itgb2
Lpl	Gpihbp1
Pdyn	Oprm1
Vcan	Selp
Tfpi	F3
Nid1	Itgav
Ccl2	Ackr2
Fbn1	Itgav
Selplg	Esam
Col1a2	Flt4
Nid1	Col13a1
Pth2	Pth1r
Gnai2	Lpar3
Penk	Mrgpra6
Penk	Mrgpra9
Penk	Mrgpra1
Penk	Mrgpra2a
Penk	Mrgpra2b
Penk	Mrgpra3
Penk	Mrgpra4
Penk	Mrgprx1
Penk	Mrgprb5
Penk	Mrgprb4
Penk	Mrgprb8
Penk	Mrgprb1
Penk	Mrgprx2
Penk	Mrgprb2
Penk	Mrgprb3
